nickname,full_name,b_day,birth_place,years_active,occupation,wiki_url
Latto,Latto,"December 22, 1998",,2016–present,"Rapper, Singer, Songwriter",https://en.wikipedia.org/wiki/Latto
Maude Apatow,Maude Annabelle Apatow,"December 15, 1997","Los Angeles, California, U.S.",2004–present,Actress,https://en.wikipedia.org/wiki/Maude_Apatow
Elizabeth Hurley,Elizabeth Jane Hurley,10 June 1965,"Basingstoke, Hampshire, England",1987–present,"Actress, Model",https://en.wikipedia.org/wiki/Elizabeth_Hurley
Addison Rae,Addison Rae Easterling,"October 6, 2000","Lafayette, Louisiana, U.S.",2019–present,"Social Media Personality, Actress",https://en.wikipedia.org/wiki/Addison_Rae
Kim Petras,Kim Petras,27 August 1992,"Cologne, North Rhine-Westphalia, Germany",2008–present,"Singer, Songwriter",https://en.wikipedia.org/wiki/Kim_Petras
Dwayne Johnson,Dwayne Douglas Johnson,"May 2, 1972","Hayward, California, U.S.","1996–2019 (wrestling), 1999–present (acting)","Actor, Film Producer, Businessman, Professional Wrestler",https://en.wikipedia.org/wiki/Dwayne_Johnson
Olivia Rodrigo,Olivia Isabel Rodrigo,"February 20, 2003","Murrieta, California, U.S.",2015–present,"Singer-songwriter, Actress",https://en.wikipedia.org/wiki/Olivia_Rodrigo
Bella Thorne,Annabella Avery Thorne,"October 8, 1997","Pembroke Pines, Florida, U.S.",2003–present,"Actress, Singer, Writer",https://en.wikipedia.org/wiki/Bella_Thorne
Storm Reid,Storm Reid,"July 1, 2003","Atlanta, Georgia, U.S.",2012–present,Actress,https://en.wikipedia.org/wiki/Storm_Reid
Nicki Minaj,Onika Tanya Maraj,"December 8, 1982","Port of Spain, Trinidad and Tobago",2004–present,"Rapper, Singer, Songwriter, Actress, Radio Personality",https://en.wikipedia.org/wiki/Nicki_Minaj
